family,language,dialect,source,primary.source,poa.narrow,poa.broad,vot.category,vot,voice.contrast,notes,voice,in.ChodroffGoldenWilson2019
Indo-European,Afrikaans,NA,CoetzeePC,NA,NA,coronal,short.lag,15.91,yes,NA,voiceless,yes
Indo-European,Afrikaans,NA,CoetzeePC,NA,NA,dorsal,short.lag,13.27,yes,NA,voiceless,yes
Indo-European,Afrikaans,NA,CoetzeePC,NA,NA,coronal,lead,-113.77,yes,NA,voiced,yes
Indo-European,Afrikaans,NA,CoetzeePC,NA,NA,dorsal,lead,-103.25,yes,NA,voiced,yes
Indo-European,Afrikaans,NA,CoetzeePC,NA,NA,coronal,lead,12.69,yes,NA,voiced voiceless,yes
Indo-European,Afrikaans,NA,CoetzeePC,NA,NA,dorsal,lead,11.58,yes,NA,voiced voiceless,yes
Eskimo-Aleut,Aleut (Eastern),NA,ChoLadefoged1999,ChoLadefoged1999,alveolar,coronal,long.lag,59,no,NA,aspirated,yes
Eskimo-Aleut,Aleut (Eastern),NA,ChoLadefoged1999,ChoLadefoged1999,velar,dorsal,long.lag,75,no,NA,aspirated,yes
Eskimo-Aleut,Aleut (Eastern),NA,ChoLadefoged1999,ChoLadefoged1999,uvular,dorsal,long.lag,78,no,NA,aspirated,yes
Eskimo-Aleut,Aleut (Western),NA,ChoLadefoged1999,ChoLadefoged1999,alveolar,coronal,long.lag,76,no,NA,aspirated,yes
Eskimo-Aleut,Aleut (Western),NA,ChoLadefoged1999,ChoLadefoged1999,velar,dorsal,long.lag,95,no,NA,aspirated,yes
Eskimo-Aleut,Aleut (Western),NA,ChoLadefoged1999,ChoLadefoged1999,uvular,dorsal,long.lag,92,no,NA,aspirated,yes
Afro-Asiatic,Amharic,NA,Mekkonen2013,NA,NA,coronal,short.lag,42.1,yes,NA,voiceless,yes
Afro-Asiatic,Amharic,NA,Mekkonen2013,NA,NA,dorsal,short.lag,59.6,yes,NA,voiceless,yes
Afro-Asiatic,Amharic,NA,SeidEtAl,SeidEtAl,NA,labial,short.lag,19,yes,NA,voiceless,yes
Afro-Asiatic,Amharic,NA,SeidEtAl,SeidEtAl,NA,coronal,short.lag,25,yes,NA,voiceless,yes
Afro-Asiatic,Amharic,NA,SeidEtAl,SeidEtAl,NA,dorsal,short.lag,28,yes,NA,voiceless,yes
Na-Dene,Apache (Western),NA,ChoLadefoged1999,ChoLadefoged1999,velar,dorsal,long.lag,80,yes,NA,aspirated,yes
Na-Dene,Apache (Western),NA,ChoLadefoged1999,ChoLadefoged1999,alveolar,coronal,long.lag,58,yes,NA,aspirated,yes
Na-Dene,Apache (Western),NA,ChoLadefoged1999,ChoLadefoged1999,bilabial,labial,short.lag,13,yes,NA,unaspirated,yes
Na-Dene,Apache (Western),NA,ChoLadefoged1999,ChoLadefoged1999,alveolar,coronal,short.lag,15,yes,NA,unaspirated,yes
Na-Dene,Apache (Western),NA,ChoLadefoged1999,ChoLadefoged1999,velar,dorsal,short.lag,31,yes,NA,unaspirated,yes
Afro-Asiatic,Arabic,NA,Alshareef,Alshareef,NA,labial,lead,-64,yes,NA,voiced,yes
Afro-Asiatic,Arabic,NA,Alshareef,Alshareef,NA,coronal,lead,-71,yes,NA,voiced,yes
Afro-Asiatic,Arabic,NA,Alshareef,Alshareef,NA,dorsal,lead,-57,yes,NA,voiced,yes
Afro-Asiatic,Arabic,NA,Alshareef,Alshareef,NA,coronal,long.lag,33.5,yes,NA,voiceless,yes
Afro-Asiatic,Arabic,NA,Alshareef,Alshareef,NA,dorsal,long.lag,42.7,yes,NA,voiceless,yes
Tupian,Arara,NA,Alves2010,Alves2010,NA,labial,short.lag,15,yes,non-final position,voiceless unaspirated,yes
Tupian,Arara,NA,Alves2010,Alves2010,NA,coronal,short.lag,18,yes,non-final position,voiceless unaspirated,yes
Tupian,Arara,NA,Alves2010,Alves2010,NA,dorsal,short.lag,37,yes,non-final position,voiceless unaspirated,yes
Indo-European,Armenian (Eastern),NA,LiskerAbramson1964,LiskerAbramson1964,dental,coronal,long.lag,59,yes,NA,aspirated,yes
Indo-European,Armenian (Eastern),NA,LiskerAbramson1964,LiskerAbramson1964,velar,dorsal,short.lag,30,yes,NA,unaspirated,yes
Indo-European,Armenian (Eastern),NA,LiskerAbramson1964,LiskerAbramson1964,velar,dorsal,long.lag,98,yes,NA,aspirated,yes
Indo-European,Armenian (Eastern),NA,LiskerAbramson1964,LiskerAbramson1964,labial,labial,short.lag,3,yes,NA,unaspirated,yes
Indo-European,Armenian (Eastern),NA,LiskerAbramson1964,LiskerAbramson1964,dental,coronal,short.lag,15,yes,NA,unaspirated,yes
Indo-European,Armenian (Eastern),NA,LiskerAbramson1964,LiskerAbramson1964,labial,labial,long.lag,78,yes,NA,aspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,labial,long.lag,58,yes,NA,aspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,coronal,long.lag,65,yes,NA,aspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,dorsal,long.lag,79,yes,NA,aspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,labial,short.lag,24,yes,NA,unaspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,dorsal,lead,-35,yes,NA,voiced,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,coronal,lead,-46,yes,NA,voiced,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,coronal,short.lag,21,yes,NA,unaspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,dorsal,short.lag,34,yes,NA,unaspirated,yes
Indo-European,Assamese,Nalbaria,NathEtAl2014,NA,NA,labial,lead,-59,yes,NA,voiced,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,labial,labial,long.lag,86.88,yes,NA,aspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,coronal,coronal,long.lag,87.09,yes,NA,aspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,dorsal,dorsal,long.lag,100.62,yes,NA,aspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,palatal,dorsal,long.lag,131.19,yes,NA,aspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,labial,labial,short.lag,10.64,yes,NA,unaspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,coronal,coronal,short.lag,13.35,yes,NA,unaspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,dorsal,dorsal,short.lag,26.25,yes,NA,unaspirated,yes
Altaic,Azerbaijani,NA,Jahan2009,NA,palatal,dorsal,short.lag,63.18,yes,NA,unaspirated,yes
Arauan,Banawa,NA,ChoLadefoged1999,LadefogedEtAl1997,dental,coronal,short.lag,22,yes,NA,unaspirated,yes
Arauan,Banawa,NA,ChoLadefoged1999,LadefogedEtAl1997,velar,dorsal,short.lag,44,yes,NA,unaspirated,yes
Austronesian,Belep,NA,McCracken2012,NA,velar,dorsal,short.lag,29,no,word.initial,voiceless,yes
Austronesian,Belep,NA,McCracken2012,NA,bilabial,labial,short.lag,19,no,word.initial,voiceless,yes
Austronesian,Belep,NA,McCracken2012,NA,alveolar,coronal,short.lag,15,no,word.initial,voiceless,yes
Austronesian,Belep,NA,McCracken2012,NA,palatal,dorsal,short.lag,39,no,word.initial,voiceless,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,NA,dorsal,long.lag,46.63,yes,NA,aspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,retroflex,coronal,long.lag,44.05,yes,NA,aspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,dental,coronal,long.lag,28.02,yes,NA,aspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,NA,labial,long.lag,32.11,yes,NA,aspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,NA,dorsal,short.lag,7.18,yes,NA,unaspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,retroflex,coronal,short.lag,3.06,yes,NA,unaspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,dental,coronal,short.lag,3.94,yes,NA,unaspirated,yes
Indo-European,Bengali,Bangla,MandalEtAl2012,NA,NA,labial,short.lag,3.59,yes,NA,unaspirated,yes
Indo-European,Bengali,East Bengali,MikuteitReetz2007,NA,dental,coronal,long.lag,66,yes,NA,voiceless aspirated,yes
Indo-European,Bengali,East Bengali,MikuteitReetz2007,NA,retroflex,coronal,long.lag,48,yes,NA,voiceless aspirated,yes
Indo-European,Bengali,East Bengali,MikuteitReetz2007,NA,velar,dorsal,long.lag,73,yes,NA,voiceless aspirated,yes
Indo-European,Bengali,East Bengali,MikuteitReetz2007,NA,bilabial,labial,short.lag,17,yes,NA,voiceless unaspirated,yes
Indo-European,Bengali,East Bengali,MikuteitReetz2007,NA,dental,coronal,short.lag,23,yes,NA,voiceless unaspirated,yes
Indo-European,Bengali,East Bengali,MikuteitReetz2007,NA,retroflex,coronal,short.lag,16,yes,NA,voiceless unaspirated,yes
